Tarih,Kahvaltı1,Kahvaltı2,Kahvaltı3,Kahvaltı4,SabitKahvaltı1,SabitKahvaltı2,SabitKahvaltı3,SabitKahvaltı4,Çorba1,Çorba2,AnaYemek1,AnaYemek2,PilavMakarna,SalataMeze,TatlıMeyve,ÇeyrekEkmek,Su
01-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Helva,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Tarhana Çorbası,Tas Kebabı,Ispanak Graten,Şehriyeli Pirinç Pilavı,Çoban Salata,-,Çeyrek Ekmek,500 mL Su
02-10-2025,Sade Omlet,Dere Otlu Poğaça,Kaşar Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mantar Çorbası,Şehriye Çorbası,Tavuk Burger,İmam Bayıldı,Spagetti Napoliten,Ayran,-,Çeyrek Ekmek,500 mL Su
03-10-2025,Karışık Pizza,Haşlanmış Yumurta,Beyaz Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Mısır Çorbası,İzmir Köfte,Patates Yemeği,Nohutlu Bulgur Pilavı,Akdeniz Salatası,Haydari,Çeyrek Ekmek,500 mL Su
04-10-2025,Sucuklu Yumurta,Sade Açma,Çeçil Peyniri,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Düğün Çorbası,Domates Çorbası,Çıtır Tavuk,Taze Fasulye,Salçalı Makarna,Yoğurt,-,Çeyrek Ekmek,500 mL Su
05-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mahluta Çorbası,Brokoli Çorbası,Nohut Yemeği,Çıtır Kabak Kızartması + Yoğurt,Tereyağlı Pirinç Pilavı,Cevizli Kadayıf,-,Çeyrek Ekmek,500 mL Su
06-10-2025,Menemen,Çikolatalı Milföy Böreği,Labne Peyniri,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorba,Toyga Çorbası,Tavuk Fajita,Bezelye Yemeği,Mısırlı Pirinç Pilavı,Pembe Sultan,-,Çeyrek Ekmek,500 mL Su
07-10-2025,Pişi,Haşlanmış Yumurta,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yayla Çorbası,Tarhana Çorbası,Patlıcan Musakka,Kabak Mücver + Yoğurt,Cevizli Erişte,Browni,-,Çeyrek Ekmek,500 mL Su
08-10-2025,Kaşarlı Omlet,Mozaik Kek,Örgü Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Mantar Çorbası,Ezogelin Çorbası,Sultan Kebabı,Sebze Kızartma,Pirinç Pilavı,Kaşık Salata,-,Çeyrek Ekmek,500 mL Su
09-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Helva,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Çeşmi Nigar Çorbası,Şehriye Çorbası,Tavuk Burger,İmam Bayıldı,Spagetti Napoliten,Ayran,-,Çeyrek Ekmek,500 mL Su
10-10-2025,Peynirli Omlet,Simit,Kaşar Peyniri,Sürülebilir Çikolatası,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yüksük Çorbası,Tavuk Çorbası,Kuru Fasulye Yemeği,Patates Köftesi + Yoğurt,Bulgur Pilavı,Turşu,-,Çeyrek Ekmek,500 mL Su
12-10-2025,Sade Omlet,Zeytinli/Peynirli Açma,Kaşar Peyniri,Bal - Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mantar Çorbası,Pirinç Çorbası,Tavuk Kalamar,Kabal Kalye,Fesleğenli Makarna,Yoğurt,-,Çeyrek Ekmek,500 mL Su
13-10-2025,Peynirli/Ispanaklı Börek,Haşlanmış Yumurta,Krem Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbassı,Ezogelin Çorbası,Çökertme Kebabı,Sebze Kızartma,Bulgur Pilavı,Muzlu/Çikolatalı Puding,-,Çeyrek Ekmek,500 mL Su
14-10-2025,Sucuklu Yumurta,Çikolatalı Milföy Böreği,Kaşar Peyniri,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Mantar Çorbası,Köylü,Tavuk Fajita,Biber Dolma + Yoğurt,Köri Soslu Makarna,Bahçe Salata,-,Çeyrek Ekmek,500 mL Su
15-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Düğün Çorbası,Tarhana çorbası,Çiftlik Köfte,Yeşil Mercimek Yemeği,Pirinç Pilavı,Islak Kek,-,Çeyrek Ekmek,500 mL Su
16-10-2025,Sade Omlet,Dere Otlu Poğaça,Dil Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Pirinç Çorbası,Tavuk Sote,Karışık Kızartma,Şehriyeli Bulgur Pilavı,Rus Salatası,-,Çeyrek Ekmek,500 mL Su
11-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,Mercimek Çorbası,Et Tantuni + Lavaş + Soğan + Salata,Barbunya Yemeği,Şehriyeli Pirinç Pilavı,Ayran,-,Çeyrek Ekmek,500 mL Su
